1472151242,759.7100,760.1100,759.6200,759.8600,19500
1472151548,759.2000,759.9214,759.0301,759.7000,19300
1472151840,759.6200,759.6399,759.2247,759.3800,7400
1472152146,759.2500,759.6400,758.8301,759.5650,16600
1472152441,759.4500,759.6500,758.6300,759.2100,16100
1472152758,759.5900,759.5900,759.1000,759.5200,14900
1472153098,760.4300,760.4900,759.4800,759.6500,33500
1472153341,760.1100,760.5600,759.5350,760.2400,25500
1472153647,760.3350,760.4100,759.8500,760.1300,15600
1472153961,760.3700,760.5250,760.1600,760.3400,16300
1472154240,759.9734,760.4075,759.7000,760.2200,27600
1472154557,760.0800,760.1500,759.7400,760.0100,35600
1472154840,760.0100,760.2100,759.6800,759.7800,40100
1472155140,759.3800,759.9700,758.8400,759.9700,123000
1472155200,759.2200,759.2200,759.2200,759.2200,70300
1472218440,760.4250,761.2900,759.7950,760.0500,0
1472218740,762.9600,763.4200,760.2900,760.3000,66200
1472219046,764.1618,764.8800,762.8400,762.8900,91900
1472219351,763.7718,764.4000,763.0470,764.0100,31100
1472219652,763.4816,763.9600,762.7100,763.6100,32900
1472219995,762.6100,763.5400,762.0145,763.4900,31800
1472220240,763.9810,764.2800,760.3100,762.2800,84200
1472220599,764.3600,764.9900,763.7100,764.3000,71000
1472220847,765.3000,765.3000,764.1900,764.5600,57400
1472221141,767.0100,768.3400,765.0000,765.3600,131600
1472221441,767.2400,767.5000,766.3401,767.0000,53500
1472221746,766.8700,768.2800,766.7800,767.4200,39600
1472222056,766.6000,767.5913,766.6000,766.9300,34700
1472222343,767.9956,767.9956,766.4000,766.6000,29100
1472222649,767.3000,767.7800,767.0000,767.7700,20500
1472222953,766.8943,767.3700,766.4550,767.0510,19700
1472223241,767.1800,767.2300,766.0600,766.7500,20700
1472223558,767.7117,767.9500,767.0360,767.2050,26500
1472223841,767.2300,767.9700,767.2300,767.8300,24100
1472224146,767.3600,767.9500,767.0200,767.2800,25400
1472224453,767.5700,767.7400,766.9310,767.2600,18600
1472224740,767.7700,768.1500,767.4950,767.5880,41900
1472225040,768.2810,768.4500,767.7800,767.8400,30400
1472225347,768.3800,768.4900,768.0311,768.3153,29200
1472225697,768.0317,768.6000,768.0200,768.3200,25000
1472225943,767.6200,768.1300,767.3300,768.0400,33200
1472226240,767.1000,767.7700,766.2100,767.4900,43200
1472226543,766.4300,766.9950,766.0000,766.9800,19300
1472226851,765.7000,766.0862,764.4000,766.0600,52300
1472227145,765.4900,765.9000,764.9501,765.6950,17700
1472227450,765.3720,765.5600,763.8000,765.3100,46500
1472227740,763.7800,765.6100,762.3600,765.1900,48100
1472228044,763.3600,764.0000,762.9900,763.7600,32400
1472228359,763.6500,763.7300,763.1400,763.5000,20100
1472228641,763.3900,763.7800,763.0800,763.6900,19900
1472228998,763.0500,763.3900,762.5000,763.2600,23100
1472229257,763.1700,763.2099,762.0100,763.0600,24300
1472229549,763.3400,763.6700,762.8900,763.1000,11900
1472229874,763.5260,764.0700,763.1650,763.4700,24900
1472230144,763.8900,763.9490,763.3625,763.6800,13200
1472230445,763.6912,764.3800,763.2400,763.9100,30300
1472230741,764.2400,764.3850,763.7100,763.9300,13000
1472231099,764.5550,765.0500,764.1700,764.1800,19300
1472231395,763.7800,764.4900,763.7100,764.3900,11100
1472231641,764.0400,764.3400,763.9600,763.9600,9700
1472231949,763.5800,764.1500,763.5800,764.1500,9500
1472232296,763.7100,763.7800,763.5000,763.6700,8300
1472232551,764.3100,764.4500,763.7100,763.7100,10300
1472232782,764.2900,764.8900,764.2900,764.3600,9000
1472233150,763.9900,764.2400,763.7700,764.2400,7100
1472233446,763.9400,764.1300,763.6000,763.9100,7900
1472233744,763.7600,764.0500,763.4500,763.6300,18700
1472234043,763.9700,764.3700,763.5000,763.7600,15200
1472234343,764.3800,764.4400,763.5800,763.8600,16400
1472234675,763.9200,764.3050,763.6850,764.2100,13900
1472234943,763.8400,764.1000,763.4400,764.0000,17500
1472235258,764.4500,764.7000,763.9200,763.9800,25700
1472235540,764.2800,764.5000,763.9100,764.3750,35200
1472235848,763.6400,764.5100,763.6400,764.3300,18600
1472236151,764.1199,764.5000,763.5000,763.8800,15800
1472236453,764.3600,764.3600,763.3280,763.9100,26200
1472236740,764.3800,765.2000,764.0500,764.2826,26400
1472237049,764.1710,765.0000,764.0300,764.5900,21300
1472237369,763.9600,764.3500,763.6500,764.2800,13400
1472237643,764.2479,764.3400,763.9000,764.0000,8500
1472237999,765.3000,765.3030,764.3400,764.3400,29800
1472238265,765.3400,765.8000,764.7800,765.4000,21500
1472238557,765.7400,765.7850,764.8200,765.4200,17000
1472238847,766.1500,766.2400,765.3500,765.8550,25700
1472239141,766.6750,767.2290,766.0700,766.0700,30100
1472239443,767.0600,767.0700,766.1600,766.7200,24800
1472239742,767.4200,767.5400,766.7400,767.1500,29200
1472240051,768.2400,768.7000,767.4700,767.4700,51300
1472240357,768.2800,768.4400,767.5300,768.2900,35300
1472240698,769.3000,769.4900,768.4000,768.4000,69600
1472240940,769.8700,770.0000,768.8000,769.2600,69200
1472241240,769.2600,770.0000,769.2600,769.8000,86300
1472241599,769.0400,769.6299,769.0100,769.2700,190500
1472241600,769.0000,769.0000,769.0000,769.0000,21500
